sample_id,sample_date,k,no3_n,mg,ca,nh4_n
Q1,1988-01-05,0.76,132,2.66,4.06,19
Q1,1988-01-12,0.77,134,2.61,4.08,18
Q1,1988-01-19,0.75,125,2.67,4.16,21
Q1,1988-01-26,0.74,123,2.85,4.41,14
Q1,1988-01-29,0.86,77,1.48,2.4,21
Q1,1988-01-29,0.83,81,1.35,2.06,31
Q1,1988-01-29,0.91,281,1.64,2.65,27
Q1,1988-01-29,0.84,267,1.41,2.63,24
Q1,1988-01-29,0.86,242,1.59,2.67,21
Q1,1988-02-02,0.76,138,1.71,2.78,80
Q1,1988-02-02,0.79,168,1.62,2.57,17
Q1,1988-02-03,NA,NA,NA,NA,NA
Q1,1988-02-04,NA,NA,NA,NA,NA
Q1,1988-02-09,0.8,149,2.73,4.09,54
Q1,1988-02-10,NA,NA,NA,NA,NA
Q1,1988-02-16,0.77,113,2.67,4.04,20
Q1,1988-02-23,0.85,152,2.94,4.39,28
Q1,1988-03-01,0.81,144,2.96,4.31,18
Q1,1988-03-08,0.5,144,2.12,3.89,25
Q1,1988-03-15,0.7,148,2.72,4.02,34
Q1,1988-03-23,0.73,144,2.76,4.05,13
Q1,1988-03-29,0.97,291,1.48,3.16,8
Q1,1988-03-29,1.13,283,1.47,3.22,7
Q1,1988-03-29,0.86,239,1.7,2.72,10
Q1,1988-03-29,1.07,291,1.09,1.31,20
Q1,1988-03-29,1.07,300,1.11,1.29,8
Q1,1988-03-29,1.17,261,1.49,3.7,13
Q1,1988-03-29,1.11,265,1.16,1.38,31
Q1,1988-03-29,1.06,252,1.19,1.34,16
Q1,1988-04-05,0.82,135,2.31,2.75,26
Q1,1988-04-12,0.71,141,2.77,4.22,34
Q1,1988-04-19,0.85,150,2.57,3.82,16
Q1,1988-04-26,0.74,142,2.87,4.3,28
Q1,1988-05-03,0.75,139,2.82,4.18,65
Q1,1988-05-10,1.19,142,2.24,3.6,69
Q1,1988-05-10,NA,NA,NA,NA,NA
Q1,1988-05-10,NA,NA,NA,NA,NA
Q1,1988-05-10,NA,NA,NA,NA,NA
Q1,1988-05-10,1.2,203,1.44,2.58,10
Q1,1988-05-17,NA,148,1.12,1.12,237
Q1,1988-05-24,0.75,149,1.2,1.34,63
Q1,1988-05-31,0.9,156,2.57,3.16,61
Q1,1988-06-07,0.8,147,2.91,3.58,59
Q1,1988-06-14,0.79,NA,2.85,3.53,68
Q1,1988-06-21,0.81,NA,1.95,2.66,158
Q1,1988-06-28,0.71,NA,2.71,4.87,NA
Q1,1988-07-05,0.78,NA,2.84,3.41,NA
Q1,1988-07-12,NA,NA,0.54,NA,NA
Q1,1988-07-19,0.73,NA,1.84,2.54,NA
Q1,1988-07-22,0.82,NA,2.47,3.2,NA
Q1,1988-07-26,NA,NA,NA,NA,NA
Q1,1988-07-26,0.71,NA,1.65,2.43,NA
Q1,1988-08-02,0.73,NA,2.9,3.48,NA
Q1,1988-08-09,0.81,NA,2.92,3.56,NA
Q1,1988-08-16,0.84,NA,2.85,3.49,16
Q1,1988-08-23,0.87,135,2.71,3.95,NA
Q1,1988-08-24,0.76,8,0.86,1.23,NA
Q1,1988-08-24,NA,7,NA,NA,NA
Q1,1988-08-24,0.77,NA,NA,1.79,NA
Q1,1988-08-24,0.48,11,0.47,0.75,NA
Q1,1988-08-24,0.9,10,0.79,1.32,NA
Q1,1988-08-30,0.78,150,2.62,3.29,NA
Q1,1988-09-06,0.69,120,2.76,3.9,15
Q1,1988-09-13,0.79,192,1.53,0.7,NA
Q1,1988-09-20,0.75,150,2.64,3.75,47
Q1,1988-09-27,0.71,149,2.66,4.21,NA
Q1,1988-10-04,0.73,43,2.09,3.05,59
Q1,1988-10-11,0.75,151,2.58,5.02,49
Q1,1988-10-18,NA,154,NA,NA,46
Q1,1988-10-25,0.88,146,2.56,3.97,NA
Q1,1988-11-01,0.86,143,2.72,4.28,NA
Q1,1988-11-07,0.87,137,2.73,4.34,NA
Q1,1988-11-15,0.99,130,2.68,4.22,NA
Q1,1988-11-22,0.86,139,2.31,3.82,NA
Q1,1988-11-29,0.82,139,2.8,4.2,NA
Q1,1988-12-06,0.82,139,2.5,4.24,NA
Q1,1988-12-13,1.05,149,2.65,4.23,NA
Q1,1988-12-20,0.93,156,2.75,4.26,NA
Q1,1988-12-27,0.93,156,2.68,4.15,NA
Q1,1989-01-03,0.23,NA,0.49,NA,NA
Q1,1989-01-10,0.97,221,2.49,4.09,NA
