sample_id,sample_date,ca,mov_avg_ca
Q1,1988-01-05,4.06,3.1336363636363638
Q1,1988-01-12,4.08,3.2133333333333334
Q1,1988-01-19,4.16,3.276923076923077
Q1,1988-01-26,4.41,3.3564285714285713
Q1,1988-01-29,2.4,3.3564285714285713
Q1,1988-01-29,2.06,3.3564285714285713
Q1,1988-01-29,2.65,3.3564285714285713
Q1,1988-01-29,2.63,3.3564285714285713
Q1,1988-01-29,2.67,3.3564285714285713
Q1,1988-02-02,2.78,3.42
Q1,1988-02-02,2.57,3.42
Q1,1988-02-03,NA,3.42
Q1,1988-02-04,NA,3.42
Q1,1988-02-09,4.09,3.4086666666666665
Q1,1988-02-10,NA,3.4086666666666665
Q1,1988-02-16,4.04,3.4046666666666665
Q1,1988-02-23,4.39,3.397333333333333
Q1,1988-03-01,4.31,3.0741176470588236
Q1,1988-03-08,3.89,3.10375
Q1,1988-03-15,4.02,3.111875
Q1,1988-03-23,4.05,3.098125
Q1,1988-03-29,3.16,3.0925
Q1,1988-03-29,3.22,3.0925
Q1,1988-03-29,2.72,3.0925
Q1,1988-03-29,1.31,3.0925
Q1,1988-03-29,1.29,3.0925
Q1,1988-03-29,3.7,3.0925
Q1,1988-03-29,1.38,3.0925
Q1,1988-03-29,1.34,3.0925
Q1,1988-04-05,2.75,3.084375
Q1,1988-04-12,4.22,3.0376470588235294
Q1,1988-04-19,3.82,2.867058823529412
Q1,1988-04-26,4.3,2.7076470588235293
Q1,1988-05-03,4.18,3.1069999999999998
Q1,1988-05-10,3.6,3.19
Q1,1988-05-10,NA,3.19
Q1,1988-05-10,NA,3.19
Q1,1988-05-10,NA,3.19
Q1,1988-05-10,2.58,3.19
Q1,1988-05-17,1.12,3.121
Q1,1988-05-24,1.34,3.005
Q1,1988-05-31,3.16,3.0620000000000003
Q1,1988-06-07,3.58,2.9850000000000003
Q1,1988-06-14,3.53,2.95875
Q1,1988-06-21,2.66,3.1433333333333335
Q1,1988-06-28,4.87,3.2644444444444445
Q1,1988-07-05,3.41,3.3000000000000003
Q1,1988-07-12,NA,3.2977777777777777
Q1,1988-07-19,2.54,3.2933333333333334
Q1,1988-07-22,3.2,3.2933333333333334
Q1,1988-07-26,NA,2.770769230769231
Q1,1988-07-26,2.43,2.770769230769231
Q1,1988-08-02,3.48,2.649230769230769
Q1,1988-08-09,3.56,2.686923076923077
Q1,1988-08-16,3.49,2.545
Q1,1988-08-23,3.95,2.5876923076923077
Q1,1988-08-24,1.23,2.5876923076923077
Q1,1988-08-24,NA,2.5876923076923077
Q1,1988-08-24,1.79,2.5876923076923077
Q1,1988-08-24,0.75,2.5876923076923077
Q1,1988-08-24,1.32,2.5876923076923077
Q1,1988-08-30,3.29,2.7246153846153844
Q1,1988-09-06,3.9,2.6915384615384617
Q1,1988-09-13,0.7,2.8038461538461537
Q1,1988-09-20,3.75,2.7466666666666666
Q1,1988-09-27,4.21,3.48625
Q1,1988-10-04,3.05,3.61
Q1,1988-10-11,5.02,3.665
Q1,1988-10-18,NA,4.1049999999999995
Q1,1988-10-25,3.97,4.11375
Q1,1988-11-01,4.28,4.1125
Q1,1988-11-07,4.34,4.26125
Q1,1988-11-15,4.22,4.1625
Q1,1988-11-22,3.82,4.173333333333334
Q1,1988-11-29,4.2,4.193333333333333
Q1,1988-12-06,4.24,4.1825
Q1,1988-12-13,4.23,4.15125
Q1,1988-12-20,4.26,4.1775
Q1,1988-12-27,4.15,4.25
Q1,1989-01-03,NA,4.285
Q1,1989-01-10,4.09,4.3175
Q1,1989-01-17,4.43,4.32875
Q1,1989-01-24,4.4,4.31875
Q1,1989-01-31,4.48,4.2925
Q1,1989-02-07,4.5,4.292222222222223
Q1,1989-02-14,4.32,4.293333333333333
Q1,1989-02-21,4.18,4.251111111111111
Q1,1989-02-28,3.94,4.204444444444444
Q1,1989-03-07,4.29,4.096666666666667
Q1,1989-03-09,NA,4.096666666666667
Q1,1989-03-14,NA,4.073333333333333
Q1,1989-03-14,4.1,4.073333333333333
Q1,1989-03-21,4.05,4.14
Q1,1989-03-28,3.98,4.222222222222222
Q1,1989-04-04,3.51,4.335555555555556
Q1,1989-04-11,4.29,4.372222222222222
Q1,1989-04-18,4.92,4.444444444444445
Q1,1989-04-25,4.92,4.528888888888889
Q1,1989-05-02,4.96,4.613333333333333
Q1,1989-05-09,4.62,4.803333333333334
Q1,1989-05-16,4.75,4.863333333333333
Q1,1989-05-23,4.81,4.794444444444444
Q1,1989-05-30,4.74,4.751111111111111
Q1,1989-06-06,5.22,4.466666666666667
Q1,1989-06-13,4.83,4.514444444444444
Q1,1989-06-20,4.3,4.5344444444444445
Q1,1989-06-27,4.53,4.49
Q1,1989-07-05,2.4,4.441111111111111
Q1,1989-07-11,5.05,4.373333333333333
Q1,1989-07-18,4.93,4.333333333333333
Q1,1989-07-26,4.41,3.991111111111111
Q1,1989-08-01,4.3,3.9899999999999998
Q1,1989-08-08,4.61,4.251111111111111
Q1,1989-08-15,4.47,4.158888888888889
Q1,1989-08-22,1.22,4.042222222222222
Q1,1989-08-29,4.52,3.98
Q1,1989-09-05,4.75,3.9739999999999998
Q1,1989-09-12,4.22,3.944
Q1,1989-09-20,NA,3.939
Q1,1989-09-22,3.88,3.939
Q1,1989-09-26,3.93,4.265
Q1,1989-09-26,3.9,4.265
Q1,1989-10-03,4.24,4.227
Q1,1989-10-05,NA,4.227
Q1,1989-10-10,4.31,4.182727272727273
Q1,1989-10-17,4.42,4.1909090909090905
Q1,1989-10-24,4.48,4.2290909090909095
Q1,1989-10-31,4.14,4.421
Q1,1989-11-07,4.25,4.566
Q1,1989-11-08,4.24,4.566
Q1,1989-11-14,4.31,4.726
Q1,1989-11-21,4.3,4.888
Q1,1989-11-28,5.52,5.118
Q1,1989-12-05,5.69,5.219
Q1,1989-12-12,5.91,5.511111111111111
Q1,1989-12-19,6.04,5.713333333333334
Q1,1989-12-26,6.78,5.8566666666666665
Q1,1990-01-02,5.15,5.911111111111111
Q1,1990-01-09,5.9,5.947777777777778
Q1,1990-01-16,6.13,5.958888888888889
Q1,1990-01-23,5.59,5.937777777777778
Q1,1990-01-30,6.01,5.847777777777778
Q1,1990-02-06,6.02,5.952222222222222
Q1,1990-02-13,6.01,5.635555555555555
Q1,1990-02-20,5.85,5.5744444444444445
Q1,1990-02-27,5.97,5.546666666666667
Q1,1990-03-06,6.09,5.4944444444444445
Q1,1990-03-13,3.05,5.475555555555555
Q1,1990-03-20,5.58,5.453333333333333
Q1,1990-03-27,5.34,4.291538461538462
Q1,1990-04-03,5.54,4.291538461538462
Q1,1990-04-10,5.85,4.1207142857142856
Q1,1990-04-17,5.81,4.29
Q1,1990-04-24,5.96,4.308571428571429
Q1,1990-04-25,0.66,4.308571428571429
Q1,1990-04-25,0.88,4.308571428571429
Q1,1990-04-25,0.83,4.308571428571429
Q1,1990-04-26,4.23,4.308571428571429
Q1,1990-05-01,5.97,4.312857142857143
Q1,1990-05-08,5.48,4.292142857142857
Q1,1990-05-10,2.51,4.292142857142857
Q1,1990-05-15,5.42,4.285
Q1,1990-05-22,5.84,4.267142857142857
Q1,1990-05-29,5.4,5.225
Q1,1990-06-05,5.25,5.267
Q1,1990-06-12,5.75,5.624444444444444
