sample_id,sample_date,k,mov_avg_k
Q1,1988-01-05,0.76,0.8063636363636364
Q1,1988-01-12,0.77,0.8058333333333333
Q1,1988-01-19,0.75,0.8030769230769231
Q1,1988-01-26,0.74,0.8064285714285714
Q1,1988-01-29,0.86,0.8064285714285714
Q1,1988-01-29,0.83,0.8064285714285714
Q1,1988-01-29,0.91,0.8064285714285714
Q1,1988-01-29,0.84,0.8064285714285714
Q1,1988-01-29,0.86,0.8064285714285714
Q1,1988-02-02,0.76,0.8066666666666666
Q1,1988-02-02,0.79,0.8066666666666666
Q1,1988-02-03,NA,0.8066666666666666
Q1,1988-02-04,NA,0.8066666666666666
Q1,1988-02-09,0.8,0.7893333333333333
Q1,1988-02-10,NA,0.7893333333333333
Q1,1988-02-16,0.77,0.7846666666666666
Q1,1988-02-23,0.85,0.7833333333333333
Q1,1988-03-01,0.81,0.8911764705882353
Q1,1988-03-08,0.5,0.90125
Q1,1988-03-15,0.7,0.895625
Q1,1988-03-23,0.73,0.900625
Q1,1988-03-29,0.97,0.89375
Q1,1988-03-29,1.13,0.89375
Q1,1988-03-29,0.86,0.89375
Q1,1988-03-29,1.07,0.89375
Q1,1988-03-29,1.07,0.89375
Q1,1988-03-29,1.17,0.89375
Q1,1988-03-29,1.11,0.89375
Q1,1988-03-29,1.06,0.89375
Q1,1988-04-05,0.82,0.89
Q1,1988-04-12,0.71,0.9488235294117647
Q1,1988-04-19,0.85,0.964375
Q1,1988-04-26,0.74,0.965625
Q1,1988-05-03,0.75,0.8788888888888888
Q1,1988-05-10,1.19,0.8766666666666667
Q1,1988-05-10,NA,0.8766666666666667
Q1,1988-05-10,NA,0.8766666666666667
Q1,1988-05-10,NA,0.8766666666666667
Q1,1988-05-10,1.2,0.8766666666666667
Q1,1988-05-17,NA,0.8855555555555555
Q1,1988-05-24,0.75,0.8811111111111111
Q1,1988-05-31,0.9,0.8777777777777778
Q1,1988-06-07,0.8,0.8811111111111111
Q1,1988-06-14,0.79,0.7914285714285715
Q1,1988-06-21,0.81,0.7877777777777778
Q1,1988-06-28,0.71,0.7833333333333333
Q1,1988-07-05,0.78,0.7644444444444445
Q1,1988-07-12,NA,0.7655555555555555
Q1,1988-07-19,0.73,0.7711111111111111
Q1,1988-07-22,0.82,0.7711111111111111
Q1,1988-07-26,NA,0.7623076923076924
Q1,1988-07-26,0.71,0.7623076923076924
Q1,1988-08-02,0.73,0.7676923076923077
Q1,1988-08-09,0.81,0.7607692307692308
Q1,1988-08-16,0.84,0.7628571428571429
Q1,1988-08-23,0.87,0.76
Q1,1988-08-24,0.76,0.76
Q1,1988-08-24,NA,0.76
Q1,1988-08-24,0.77,0.76
Q1,1988-08-24,0.48,0.76
Q1,1988-08-24,0.9,0.76
Q1,1988-08-30,0.78,0.76
Q1,1988-09-06,0.69,0.76
Q1,1988-09-13,0.79,0.7553846153846154
Q1,1988-09-20,0.75,0.7483333333333333
Q1,1988-09-27,0.71,0.76
Q1,1988-10-04,0.73,0.77
Q1,1988-10-11,0.75,0.7925
Q1,1988-10-18,NA,0.8175
Q1,1988-10-25,0.88,0.83125
Q1,1988-11-01,0.86,0.845
Q1,1988-11-07,0.87,0.85625
Q1,1988-11-15,0.99,0.89375
Q1,1988-11-22,0.86,0.8977777777777778
Q1,1988-11-29,0.82,0.9033333333333333
Q1,1988-12-06,0.82,0.8333333333333334
Q1,1988-12-13,1.05,0.8444444444444444
Q1,1988-12-20,0.93,0.8444444444444444
Q1,1988-12-27,0.93,0.8555555555555555
Q1,1989-01-03,0.23,0.8744444444444445
Q1,1989-01-10,0.97,0.8888888888888888
Q1,1989-01-17,0.99,0.8588888888888889
Q1,1989-01-24,0.96,0.85
Q1,1989-01-31,0.99,0.851111111111111
Q1,1989-02-07,0.95,0.9177777777777778
Q1,1989-02-14,0.78,0.9088888888888889
Q1,1989-02-21,0.85,0.8866666666666666
Q1,1989-02-28,0.94,0.8677777777777778
Q1,1989-03-07,0.83,0.8488888888888889
Q1,1989-03-09,NA,0.8488888888888889
Q1,1989-03-14,NA,0.8366666666666667
Q1,1989-03-14,0.89,0.8366666666666667
Q1,1989-03-21,0.79,0.8366666666666667
Q1,1989-03-28,0.79,0.84
Q1,1989-04-04,0.82,0.8366666666666667
Q1,1989-04-11,0.84,0.8544444444444445
Q1,1989-04-18,0.78,0.8544444444444445
Q1,1989-04-25,0.88,0.8622222222222222
Q1,1989-05-02,0.91,0.8722222222222222
Q1,1989-05-09,0.99,0.9366666666666666
Q1,1989-05-16,0.89,0.9344444444444444
Q1,1989-05-23,0.86,0.9377777777777778
Q1,1989-05-30,0.88,0.9322222222222222
Q1,1989-06-06,1.4,0.9299999999999999
Q1,1989-06-13,0.82,0.9333333333333333
Q1,1989-06-20,0.81,0.9477777777777777
Q1,1989-06-27,0.83,0.9577777777777777
Q1,1989-07-05,0.89,0.9622222222222222
Q1,1989-07-11,1.02,0.9166666666666666
Q1,1989-07-18,1.02,0.9344444444444444
Q1,1989-07-26,0.95,0.9444444444444444
Q1,1989-08-01,0.92,0.9522222222222222
Q1,1989-08-08,0.99,0.95
Q1,1989-08-15,0.98,0.9377777777777778
Q1,1989-08-22,0.9,0.9344444444444444
Q1,1989-08-29,0.9,0.995
Q1,1989-09-05,0.87,1.0245454545454546
Q1,1989-09-12,0.91,1.0172727272727273
Q1,1989-09-20,NA,1.0227272727272727
Q1,1989-09-22,0.99,1.0227272727272727
Q1,1989-09-26,1.27,1.049090909090909
Q1,1989-09-26,1.22,1.049090909090909
Q1,1989-10-03,0.98,1.079090909090909
Q1,1989-10-05,1.26,1.079090909090909
Q1,1989-10-10,0.91,1.2741666666666667
Q1,1989-10-17,1.04,1.3091666666666666
Q1,1989-10-24,1.19,1.3208333333333333
Q1,1989-10-31,1.23,1.299090909090909
Q1,1989-11-07,1.66,1.287
Q1,1989-11-08,2.63,1.287
Q1,1989-11-14,1.33,1.279
