sample_id,sample_date,mg,mov_avg_mg
Q1,1988-01-05,2.66,1.9627272727272727
Q1,1988-01-12,2.61,2.026666666666667
Q1,1988-01-19,2.67,2.0761538461538462
Q1,1988-01-26,2.85,2.137857142857143
Q1,1988-01-29,1.48,2.137857142857143
Q1,1988-01-29,1.35,2.137857142857143
Q1,1988-01-29,1.64,2.137857142857143
Q1,1988-01-29,1.41,2.137857142857143
Q1,1988-01-29,1.59,2.137857142857143
Q1,1988-02-02,1.71,2.1926666666666668
Q1,1988-02-02,1.62,2.1926666666666668
Q1,1988-02-03,NA,2.1926666666666668
Q1,1988-02-04,NA,2.1926666666666668
Q1,1988-02-09,2.73,2.1566666666666667
Q1,1988-02-10,NA,2.1566666666666667
Q1,1988-02-16,2.67,2.164
Q1,1988-02-23,2.94,2.17
Q1,1988-03-01,2.96,1.9364705882352942
Q1,1988-03-08,2.12,1.99375
Q1,1988-03-15,2.72,1.99625
Q1,1988-03-23,2.76,1.99
Q1,1988-03-29,1.48,1.985625
Q1,1988-03-29,1.47,1.985625
Q1,1988-03-29,1.7,1.985625
Q1,1988-03-29,1.09,1.985625
Q1,1988-03-29,1.11,1.985625
Q1,1988-03-29,1.49,1.985625
Q1,1988-03-29,1.16,1.985625
Q1,1988-03-29,1.19,1.985625
Q1,1988-04-05,2.31,1.976875
Q1,1988-04-12,2.77,1.9523529411764706
Q1,1988-04-19,2.57,1.858235294117647
Q1,1988-04-26,2.87,1.7664705882352942
Q1,1988-05-03,2.82,2.191
Q1,1988-05-10,2.24,2.251
Q1,1988-05-10,NA,2.251
Q1,1988-05-10,NA,2.251
Q1,1988-05-10,NA,2.251
Q1,1988-05-10,1.44,2.251
Q1,1988-05-17,1.12,2.259
Q1,1988-05-24,1.2,2.197
Q1,1988-05-31,2.57,2.181
Q1,1988-06-07,2.91,2.183
Q1,1988-06-14,2.85,2.0766666666666667
Q1,1988-06-21,1.95,2.188
Q1,1988-06-28,2.71,2.233
Q1,1988-07-05,2.84,2.266
Q1,1988-07-12,0.54,2.267
Q1,1988-07-19,1.84,2.267
Q1,1988-07-22,2.47,2.267
Q1,1988-07-26,NA,1.9653846153846153
Q1,1988-07-26,1.65,1.9653846153846153
Q1,1988-08-02,2.9,1.9584615384615385
Q1,1988-08-09,2.92,1.9523076923076923
Q1,1988-08-16,2.85,2.0284615384615385
Q1,1988-08-23,2.71,2.058333333333333
Q1,1988-08-24,0.86,2.058333333333333
