sample_id,sample_date,nh4_n,mov_avg_nh4_n
Q1,1988-01-05,19,26.636363636363633
Q1,1988-01-12,18,28.916666666666664
Q1,1988-01-19,21,28.230769230769234
Q1,1988-01-26,14,28.214285714285715
Q1,1988-01-29,21,28.214285714285715
Q1,1988-01-29,31,28.214285714285715
Q1,1988-01-29,27,28.214285714285715
Q1,1988-01-29,24,28.214285714285715
Q1,1988-01-29,21,28.214285714285715
Q1,1988-02-02,80,27.533333333333335
Q1,1988-02-02,17,27.533333333333335
Q1,1988-02-03,NA,27.533333333333335
Q1,1988-02-04,NA,27.533333333333335
Q1,1988-02-09,54,27.933333333333334
Q1,1988-02-10,NA,27.933333333333334
Q1,1988-02-16,20,29
Q1,1988-02-23,28,28.466666666666665
Q1,1988-03-01,18,23.64705882352941
Q1,1988-03-08,25,20.6875
Q1,1988-03-15,34,19.4375
Q1,1988-03-23,13,19.1875
Q1,1988-03-29,8,19.1875
Q1,1988-03-29,7,19.1875
Q1,1988-03-29,10,19.1875
Q1,1988-03-29,20,19.1875
Q1,1988-03-29,8,19.1875
Q1,1988-03-29,13,19.1875
Q1,1988-03-29,31,19.1875
Q1,1988-03-29,16,19.1875
Q1,1988-04-05,26,22.125
Q1,1988-04-12,34,24
Q1,1988-04-19,16,35.94117647058823
Q1,1988-04-26,28,38.88235294117648
Q1,1988-05-03,65,60.9
Q1,1988-05-10,69,64.2
Q1,1988-05-10,NA,64.2
Q1,1988-05-10,NA,64.2
Q1,1988-05-10,NA,64.2
Q1,1988-05-10,10,64.2
Q1,1988-05-17,237,67.6
Q1,1988-05-24,63,81.8
Q1,1988-05-31,61,87.77777777777777
Q1,1988-06-07,59,90.625
Q1,1988-06-14,68,107.66666666666666
Q1,1988-06-21,158,81.8
Q1,1988-06-28,NA,86.5
Q1,1988-07-05,NA,95
Q1,1988-07-12,NA,113
Q1,1988-07-19,NA,87
Q1,1988-07-22,NA,87
Q1,1988-07-26,NA,16
Q1,1988-07-26,NA,16
Q1,1988-08-02,NA,16
Q1,1988-08-09,NA,15.5
Q1,1988-08-16,16,15.5
Q1,1988-08-23,NA,26
Q1,1988-08-24,NA,26
Q1,1988-08-24,NA,26
Q1,1988-08-24,NA,26
Q1,1988-08-24,NA,26
Q1,1988-08-24,NA,26
Q1,1988-08-30,NA,26
Q1,1988-09-06,15,34.25
Q1,1988-09-13,NA,37.2
Q1,1988-09-20,47,43.2
Q1,1988-09-27,NA,43.2
Q1,1988-10-04,59,43.2
Q1,1988-10-11,49,50.25
Q1,1988-10-18,46,50.25
Q1,1988-10-25,NA,51.333333333333336
Q1,1988-11-01,NA,51.333333333333336
Q1,1988-11-07,NA,47.5
Q1,1988-11-15,NA,46
Q1,1988-11-22,NA,NA
Q1,1988-11-29,NA,NA
Q1,1988-12-06,NA,NA
Q1,1988-12-13,NA,NA
Q1,1988-12-20,NA,NA
Q1,1988-12-27,NA,NA
