sample_id,sample_date,no3_n,mov_avg_no3_n
Q1,1988-01-05,132,160.72727272727272
Q1,1988-01-12,134,159.75
Q1,1988-01-19,125,156.15384615384616
Q1,1988-01-26,123,155.85714285714286
Q1,1988-01-29,77,155.85714285714286
Q1,1988-01-29,81,155.85714285714286
Q1,1988-01-29,281,155.85714285714286
Q1,1988-01-29,267,155.85714285714286
Q1,1988-01-29,242,155.85714285714286
Q1,1988-02-02,138,155.06666666666666
Q1,1988-02-02,168,155.06666666666666
Q1,1988-02-03,NA,155.06666666666666
Q1,1988-02-04,NA,155.06666666666666
Q1,1988-02-09,149,155.86666666666667
Q1,1988-02-10,NA,155.86666666666667
Q1,1988-02-16,113,156.8
Q1,1988-02-23,152,158.06666666666666
Q1,1988-03-01,144,204.8235294117647
Q1,1988-03-08,144,206.9375
Q1,1988-03-15,148,206.4375
Q1,1988-03-23,144,208.75
Q1,1988-03-29,291,208.125
Q1,1988-03-29,283,208.125
Q1,1988-03-29,239,208.125
Q1,1988-03-29,291,208.125
Q1,1988-03-29,300,208.125
Q1,1988-03-29,261,208.125
Q1,1988-03-29,265,208.125
Q1,1988-03-29,252,208.125
Q1,1988-04-05,135,207.8125
Q1,1988-04-12,141,207.41176470588235
Q1,1988-04-19,150,207.41176470588235
Q1,1988-04-26,142,207.70588235294116
Q1,1988-05-03,139,150.5
Q1,1988-05-10,142,151.7
Q1,1988-05-10,NA,151.7
Q1,1988-05-10,NA,151.7
Q1,1988-05-10,NA,151.7
Q1,1988-05-10,203,151.7
Q1,1988-05-17,148,152.88888888888889
Q1,1988-05-24,149,153.25
Q1,1988-05-31,156,154.85714285714286
Q1,1988-06-07,147,157.5
Q1,1988-06-14,NA,150
Q1,1988-06-21,NA,150.66666666666666
Q1,1988-06-28,NA,151.5
Q1,1988-07-05,NA,147
Q1,1988-07-12,NA,NA
Q1,1988-07-19,NA,NA
Q1,1988-07-22,NA,NA
Q1,1988-07-26,NA,34.2
Q1,1988-07-26,NA,34.2
